id,name
1442,german post-rock
1443,jug band
1444,black noise
1445,bassline
1446,wyoming indie
1447,bass music
1448,dutch black metal
1449,bongo flava
1450,galician rock
1451,cumbia ranchera
1452,japanese punk rock
1453,italian metal
1454,german thrash metal
1455,modern bollywood
1456,show tunes
1457,brass band
1458,folklore venezolano
1459,language
1460,children's choir
1461,gothic metal
1462,c86
1463,irish banjo
1464,finnish edm
1465,san antonio indie
1466,scottish singer-songwriter
1467,slovak hip hop
1468,k-indie
1469,garage psych
1470,pinoy rock
1471,purple sound
1472,quebec death metal
1473,modular synth
1474,dangdut
1475,socal pop punk
1476,folk rock italiano
1477,experimental synth
1478,salsa venezolana
1479,dutch hip hop
1480,instrumental acoustic guitar
1481,ska espanol
1482,german reggae
1483,tex-mex
1484,old school dancehall
1485,deep metalcore
1486,british math rock
1487,harp
1488,deep freestyle
1489,street band
1490,classical tenor
1491,nottingham indie
1492,cumbia surena
1493,birmingham grime
1494,german indie pop
1495,kazakh pop
1496,swiss indie folk
1497,lounge
1498,belo horizonte indie
1499,j-dance
1500,nuevo folklore argentino
1501,trap mexicano
1502,rap antillais
1503,full on
1504,future garage
1505,p funk
1506,jazztronica
1507,french worship
1508,jam band
1509,vietnamese hip hop
1510,brazilian modern jazz
1511,parody
1512,dutch death metal
1513,digital hardcore
1514,electro swing
1515,space rock
1516,ska
1517,spanish electropop
1518,deep eurodance
1519,contemporary country
1520,classic afrobeat
1521,post-metal
1522,death 'n' roll
1523,new wave
1524,progressive rock
1525,polish indie
1526,melancholia
1527,omaha indie
1528,vbs
1529,swedish death metal
1530,polish reggae
1531,brazilian stoner rock
1532,traditional english folk
1533,ukrainian hip hop
1534,ambient house
1535,afropop
1536,rap napoletano
1537,chinese metal
1538,armenian pop
1539,k-rock
1540,deep dnb
1541,kent indie
1542,indonesian indie pop
1543,german alternative rock
1544,wonky
1545,country boogie
1546,stomp and holler
1547,indie electronica
1548,japanese dream pop
1549,atmospheric post-rock
1550,heavy alternative
1551,sevillanas
1552,nz folk
1553,finnish electronic
1554,cha-cha-cha
1555,mariachi cristiano
1556,uzbek pop
1557,nica
1558,lullaby
1559,rap montrealais
1560,english baroque
1561,swedish electronic
1562,alabama rap
1563,oratory
1564,aggro chileno
1565,deathgrind
1566,alt-idol
1567,space age pop
1568,uk stoner rock
1569,piedmont blues
1570,danish singer-songwriter
1571,math rock latinoamericano
1572,rumba
1573,classic russian rock
1574,kenyan pop
1575,norwegian pop
1576,anime rock
1577,rock caipira
1578,thai folk pop
1579,ebm
1580,didgeridoo
1581,uk house
1582,musica para ninos
1583,australian metalcore
1584,musique touareg
1585,hands up
1586,orchestral performance
1587,southern gospel
1588,gospel r&b
1589,canadian latin
1590,cuban rumba
1591,crack rock steady
1592,belgian modern jazz
1593,experimental pop
1594,new beat
1595,voidgaze
1596,trance
1597,hungarian pop
1598,deathgrass
1599,abstract
1600,afrobeat brasileiro
1601,drumfunk
1602,soca
1603,victoria bc indie
1604,latin hip hop
1605,battle rap
1606,marimba de guatemala
1607,folklore ecuatoriano
1608,persian hip hop
1609,j-punk
1610,german literature
